# BZB GEAR — COMPLETE PRODUCT CATALOG INDEX
# 397 products across 20 categories
# Format: SKU  [I/O]  [signals]  [max_res]  [distance]  | description

## PTZ & Video Cameras
# 100 products
  BG-CAB-SDIS100                    HDMI+SDI  1080p60  | Premade shielded SDI cable with a 75-ohm impedance that supports 1080p video signals up to…  [MULTI: includes-ndi+ includes-recording]
  BG-CAB-SDIS150                    HDMI+SDI  1080p60  | Premade shielded SDI cable with a 75-ohm impedance that supports 1080p video signals up to…
  BG-CAB-SDIS200                    HDMI+SDI  1080p60  | Premade shielded SDI cable designed for transmitting 1080p HD video signals up to 100 mete…
  BG-CAB-SDIS25                     HDMI+SDI  1080p60  | Premade shielded 75-ohm SDI cable with integrated DC Siamese cable that transmits 1080p HD…  [MULTI: includes-ndi+ switcher+videowall]
  BG-CAB-SDIS250                    HDMI+SDI  1080p60  | Premade shielded SDI cable with a 75-ohm impedance that transmits 1080p video signals up t…
  BG-CAB-SDIS328                    HDMI+SDI  1080p60  | Premade shielded SDI cable with a 75-ohm impedance that transmits 1080p video signals up t…
  BG-CAB-SDIS50                     HDMI+SDI  1080p60  | This 75-ohm premade shielded SDI cable transmits 1080p video signals up to 100 meters whil…
  BG-CAB-SDIS75                     HDMI+SDI  1080p60  | 75-ohm premade shielded SDI cable with integrated DC Siamese wire, capable of transmitting…
  BG-CAB-U3A10                      Fiber  | USB 3
  BG-CAB-U3A15                      Fiber  | USB 3  [MULTI: includes-ndi+ includes-recording]
  BG-CAB-U3A20                      Fiber  | USB 3
  BG-CAB-U3A30                      Fiber  | USB 3
  BG-CAB-U3A40                      Fiber  | USB 3  [MULTI: includes-recording+ includes-streaming]
  BG-CAB-U3A50                      Fiber  | USB 3

## Accessories & Mounts
# 13 products
  BG-IPGEAR-PRO-ACC-RB              | Blank mounting bracket designed to secure BG-IPGEAR-PRO-ACC-RM10 rack shelf in place withi…
  BG-IPGEAR-PRO-ACC-RM              | Mounting bracket designed to securely attach the BG-IPGEAR-PRO-ACC-RM10 rack shelf to BG-I…
  BG-IPGEAR-PRO-ACC-RM10            | 4RU rackmount designed to securely hold up to 10 BG-IPGEAR-PRO-T/R devices, providing a st…
  BG-IPGEAR-ULTRA-ACC-RM            | Rack ears designed to securely mount the BG-IPGEAR-ULTRA-ACC-RM10 rack bracket for the BG-…
  BG-IPGEAR-ULTRA-ACC-RM10          | 6RU 19-inch rack bracket designed to securely mount up to 10 BG-IPGEAR-ULTRA transceivers …
  BG-IPGEAR-ULTRA-ACC-RM2           | 1RU 19" rack bracket designed to securely mount two BG-IPGEAR-ULTRA transceivers in a stan…
  BG-IPGEAR-ULTRA-ACC-RMB           | Blank vertical mounting bracket designed to securely attach the BG-IPGEAR-ULTRA-ACC-RM10 r…
  BG-VOP-ACC-RB                     | Blank mounting bracket designed to securely attach the BG-VOP-ACC-RM10 rack shelf to BG-VO…
  BG-VOP-ACC-RM                     | Mounting bracket designed to securely attach the BG-VOP-ACC-RM10 rack shelf to BG-VOP-MT m…
  BG-VOP-ACC-RM10                   | 4RU rack mount designed to hold up to 10 BG-VOP-MT transceivers, providing a secure and or…
  BG-VPTZ-CM                        | Metal ceiling mount bracket designed specifically for BZBGEAR VPTZ series cameras, providi…  [MULTI: includes-recording+ includes-streaming]
  BG-VPTZ-TPM                       | Tripod mount adapter designed for BG-VPTZ cameras, allowing secure attachment to standard …
  BG-VPTZ-WM                        | Metal wall mount bracket designed specifically for BZBGEAR VPTZ series cameras, allowing s…

## Complete System Bundles
# 4 products
  BG-STUDIO-ELITE-B                 12G-SDI+HDMI  4K60  | Premium 3-camera production bundle featuring AI auto-tracking PTZ cameras capable of outpu…  [MULTI: includes-recording+ includes-streaming+ includes-tally]
  BG-STUDIO-ELITE-N-B               12G-SDI+HDMI+NDI  4K60  | Premium 3-camera production bundle featuring AI auto-tracking PTZ cameras capable of outpu…  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-STUDIO-ELITE-N-W               12G-SDI+HDMI+NDI  4K60  | Premium 3-camera production bundle featuring AI auto-tracking PTZ cameras that support res…  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-STUDIO-ELITE-W                 12G-SDI+HDMI  4K60  | This premium production bundle includes three AI auto-tracking PTZ cameras capable of outp…  [MULTI: includes-recording+ includes-streaming+ production-switcher]
